Eje,Nº Programa,Programa,Tipo,Proyecto,Objetivo (si aplica)
EJE III.,25,Educación Digital y Tecnologías para la Vida,Proyecto 4,"Eje I (Transformación digital), Eje IV (Empleo), Eje VIII (Conectividad)",
EJE III.,25,Educación Digital y Tecnologías para la Vida,Principal,Conectividad Total Distrital,
EJE III.,25,Educación Digital y Tecnologías para la Vida,Principal,Centros de Inclusión Digital,
EJE III.,26,Innovación y Tecnología Aplicada,Proyecto 4,"Eje IX (Economía Circular), Eje VIII (Movilidad), Eje VI (Turismo)",
EJE III.,26,Innovación y Tecnología Aplicada,Principal,Hackatones Urbanas,
EJE III.,26,Innovación y Tecnología Aplicada,Principal,Desafíos Ciudadanos de Soluciones,
EJE III.,27,Ciudad Inteligente,Proyecto 4,"Eje I (Digitalización), Eje VII (Ordenamiento), Eje VIII (Control vehicular)",
EJE III.,27,Ciudad Inteligente,Principal,Red de Datos Urbanos,
EJE III.,27,Ciudad Inteligente,Principal,Paneles de Gestión en Tiempo Real,
EJE III.,28,Laboratorios Urbanos de Innovación Social,Emblemático,Ciudad Humana Innova: Feria anual de soluciones urbanas.,"Espacios comunitarios para idear y testear ideas en salud, seguridad, cultura o reciclaje."
EJE III.,28,Laboratorios Urbanos de Innovación Social,Proyecto 4,"Eje VI (Cultura), Eje II (Salud mental), Eje IV (Juventudes)",
EJE III.,28,Laboratorios Urbanos de Innovación Social,Principal,Proyectos pilotos vecinales,
EJE III.,28,Laboratorios Urbanos de Innovación Social,Principal,Fondos de Innovación Participativa,
EJE IV.,29,Autonomía Económica de Mujeres,Emblemático,Fuerza Mujer: Fondo y Red de Apoyo Económico Local.,"Red de capacitación, emprendimiento femenino, fondo semilla y espacios seguros de cuidado."
EJE IV.,29,Autonomía Económica de Mujeres,Proyecto 4,"Eje V (Igualdad), Eje III (Educación Digital)",
EJE IV.,29,Autonomía Económica de Mujeres,Principal,Fuerza Mujer (fondo semilla + cuidados),
EJE IV.,29,Autonomía Económica de Mujeres,Principal,Escuelas Productivas para Mujeres,
EJE IV.,30,Juventudes con Futuro,Emblemático,Jóvenes que Transforman: Escuelas de Liderazgo y Emprendimiento.,"10 centros juveniles distritales con enfoque en liderazgo, robótica, deporte y emprendimiento social."
EJE IV.,30,Juventudes con Futuro,Proyecto 1,"Pasantes para el desarrollo ""Mi primer empleo al servico de La Paz""",
EJE IV.,30,Juventudes con Futuro,Proyecto 4,"Eje III (Tecnología), Eje VI (Cultura), Eje II (Salud Mental)",
EJE IV.,30,Juventudes con Futuro,Principal,Líderes del Bicentenario,
EJE IV.,30,Juventudes con Futuro,Principal,Centros de Formación y Liderazgo Juvenil,
EJE IV.,31,Empleo Productivo y Sostenible,Emblemático,Empleo con Rostro Humano: Ferias y Bolsas de Trabajo Comunitarias.,"Talleres de producción local (textil, alimentos, tecnología) con empleabilidad barrial."
EJE IV.,31,Empleo Productivo y Sostenible,Proyecto 4,"Eje VII (Equipamiento), Eje IX (Reciclaje)",
EJE IV.,31,Empleo Productivo y Sostenible,Principal,Fábricas Urbanas Barriales,
EJE IV.,31,Empleo Productivo y Sostenible,Principal,Escuelas Taller Municipales,
EJE IV.,32,Empresas Públicas Eficientes,Emblemático,Empresa Ciudad Humana: Servicios que transforman.,"Auditoría técnica y rediseño de EMAVERDE, EMAVIAS, EPSAS y otras."
EJE IV.,32,Empresas Públicas Eficientes,Proyecto 4,"Eje I (Transparencia), Eje IX (Agua)",
EJE IV.,32,Empresas Públicas Eficientes,Principal,Auditoría y Reingeniería de EMAVERDE/EMAVIAS,
EJE IV.,32,Empresas Públicas Eficientes,Principal,Centro de Control de Empresas Municipales,
EJE IV.,33,Nuevas Empresas Mixtas,Proyecto 4,"Eje IX (Residuos), Eje II (Salud), Eje VIII (Logística)",
EJE IV.,33,Nuevas Empresas Mixtas,Principal,Empresa de Alimentos Populares,
EJE IV.,33,Nuevas Empresas Mixtas,Principal,Empresa Municipal de Residuos,
EJE IV.,34,Mercados y Comercio Digno,Emblemático,"Mi Mercado, Mi Comunidad: Red de Mercados Dignos.","Intervención integral en 30 mercados para infraestructura, digitalización y salud alimentaria."
EJE IV.,34,Mercados y Comercio Digno,Proyecto 4,"Eje VII (Equipamiento), Eje II (Salud), Eje VI (Cultura)",
EJE IV.,34,Mercados y Comercio Digno,Principal,Mercados Ciudad Humana,
EJE IV.,34,Mercados y Comercio Digno,Principal,Red de Comercio Digital,
EJE IV.,35,"Planificación Productiva, Competitividad y Oportunidades Territoriales",Emblemático,Distritos con Identidad Productiva.,"Estudios y planes distritales para turismo, agroindustria, economía verde y manufactura."
EJE IV.,35,"Planificación Productiva, Competitividad y Oportunidades Territoriales",Proyecto 4,"Eje IX (Vocación Rural), Eje VI (Turismo), Eje VII (Ordenamiento)",
EJE IV.,35,"Planificación Productiva, Competitividad y Oportunidades Territoriales",Principal,Distritos Productivos,
EJE IV.,35,"Planificación Productiva, Competitividad y Oportunidades Territoriales",Principal,Feria Metropolitana de Vocaciones,
EJE IV.,36,Ecosistema Municipal del Emprendimiento,Emblemático,Impulsa Tu Sueño: Aceleradora de Emprendimientos Sociales.,"Centro de formación, incubadora, ferias distritales, mentorías, plataforma digital de apoyo."
EJE IV.,36,Ecosistema Municipal del Emprendimiento,Proyecto 4,"Eje III (Innovación), Eje IX (Circular), Eje X (Metropolitano)",
EJE IV.,36,Ecosistema Municipal del Emprendimiento,Principal,Instituto Municipal de Emprendimiento,
EJE IV.,36,Ecosistema Municipal del Emprendimiento,Principal,Ferias + Incubadoras,
EJE IV.,37,"Economía Social, Solidaria y Popular",Emblemático,Red Solidaria La Paz: Plataforma de Consumo Justo.,Mapeo y fortalecimiento de más de 100 redes económicas barriales autogestionadas.
EJE IV.,37,"Economía Social, Solidaria y Popular",Emblemático,Centros de Oportunidades Ciudadanas.,Mapeo y fortalecimiento de más de 100 redes económicas barriales autogestionadas.
EJE IV.,37,"Economía Social, Solidaria y Popular",Proyecto 1,Tu Barrio tu cooperativa,
EJE IV.,37,"Economía Social, Solidaria y Popular",Proyecto 4,"Eje II (Salud), Eje IX (Reciclaje), Eje V (Adultos Mayores)",
EJE IV.,37,"Economía Social, Solidaria y Popular",Principal,Redes de Trueque y Ferias Solidarias,
EJE IV.,37,"Economía Social, Solidaria y Popular",Principal,Cooperativas Barriales,
EJE V.,38,Ciudad Longeva y Activa,Emblemático,Red de Centros Vida: Clubes del Buen Vivir para Adultos Mayores.,"Centros distritales de socialización, salud y participación activa."
EJE V.,38,Ciudad Longeva y Activa,Proyecto 4,"Eje II (Salud), Eje IX (Verde)",
EJE V.,38,Ciudad Longeva y Activa,Principal,Casas Distritales del Adulto Mayor,
EJE V.,38,Ciudad Longeva y Activa,Principal,Clubes de Movimiento y Memoria,
EJE V.,39,Ciudad Inclusiva con Discapacidad,Emblemático,"Ruta Inclusiva: Calles, plazas y servicios para todos.","Infraestructura accesible, bonos solidarios, cultura inclusiva."
EJE V.,39,Ciudad Inclusiva con Discapacidad,Proyecto 4,"Eje VII (Infraestructura), Eje III (Innovación)",
EJE V.,39,Ciudad Inclusiva con Discapacidad,Principal,Red de Accesibilidad Territorial,
EJE V.,39,Ciudad Inclusiva con Discapacidad,Principal,Banco de Ayudas Técnicas,
EJE V.,40,Infancia y Adolescencia Protegida,Emblemático,"Voces Pequeñas, Decisiones Grandes: Participación Infantil Barrial.","Brigadas escolares, ludotecas, unidades móviles de atención."
EJE V.,40,Infancia y Adolescencia Protegida,Proyecto 4,"Eje II (Salud mental), Eje VI (Cultura)",
EJE V.,40,Infancia y Adolescencia Protegida,Principal,Escuelas de Familias,
EJE V.,40,Infancia y Adolescencia Protegida,Principal,Casas de Protección Integral,
EJE V.,41,Ciudad Segura para las Mujeres,Emblemático,Ciudad de La Mujer,
EJE V.,41,Ciudad Segura para las Mujeres,Proyecto 4,"Eje IX (Salud Ambiental), Eje VI (Cultura Comunitaria)",
EJE V.,41,Ciudad Segura para las Mujeres,Principal,Centro de Bienestar Animal,
EJE V.,41,Ciudad Segura para las Mujeres,Principal,Brigadas de Protección de Mascotas,
EJE V.,42,Seguridad Ciudadana con Comunidad,Emblemático,Barrios Seguros desde la Comunidad: Alarmas con vecinos y cultura de paz.,"Cámaras, luminarias, alarmas comunitarias, patrullaje conjunto."
EJE V.,42,Seguridad Ciudadana con Comunidad,Proyecto 4,"Eje IX (Adaptación Climática), Eje I (Gestión de Riesgo)",
EJE V.,42,Seguridad Ciudadana con Comunidad,Principal,Intervención de 180 Taludes,
EJE V.,42,Seguridad Ciudadana con Comunidad,Principal,Forestación de Quebradas,
EJE V.,43,Redes de Cuidado Intergeneracional,Emblemático,Tejiendo Cuidados: Espacios de encuentro entre generaciones.,"Espacios de encuentro entre jóvenes, adultos mayores y cuidadores."
EJE V.,43,Redes de Cuidado Intergeneracional,Proyecto 4,"Eje VII (Catastro), Eje X (Mancomunidad)",
EJE V.,43,Redes de Cuidado Intergeneracional,Principal,Programa de Alquiler Social,
EJE V.,43,Redes de Cuidado Intergeneracional,Principal,Mejoramiento de Viviendas Populares,
EJE V.,44,Atención a Personas en Situación de Calle,Proyecto 4,"Eje I (Participación), Eje III (Educación Legal)",
EJE V.,44,Atención a Personas en Situación de Calle,Principal,Casas Distritales de Justicia,
EJE V.,44,Atención a Personas en Situación de Calle,Principal,Mediación Comunitaria,
EJE V.,45,Ciudad Protectora de Animales,Emblemático,Patitas Seguras: Veterinarias comunitarias y adopción responsable.,"Centro de atención veterinaria, esterilización, control y adopción."
EJE V.,45,Ciudad Protectora de Animales,Proyecto 4,"Eje I (APPs), Eje VIII (Iluminación)",
EJE V.,45,Ciudad Protectora de Animales,Principal,Redes Vecinales Inteligentes,
EJE V.,45,Ciudad Protectora de Animales,Principal,Iluminación Pública Participativa,
EJE VI.,46,Culturas para la Vida,Emblemático,Red de Cultura Viva Barrial.,"15 centros culturales barriales con talleres, exposiciones y formación."
EJE VI.,46,Culturas para la Vida,Proyecto 4,"Eje II (Salud mental), Eje III (Educación), Eje X (Metropolitano)",
EJE VI.,46,Culturas para la Vida,Principal,Festival de la Paz,
EJE VI.,46,Culturas para la Vida,Principal,Escuelas Municipales de Arte,
EJE VI.,47,Turismo de Altura,Emblemático,La Paz Se Vive: Rutas humanas y patrimoniales.,"Circuito turístico-cultural con señalética, guías, eventos y patrimonio."
EJE VI.,47,Turismo de Altura,Proyecto 4,"Eje IV (Economía), Eje VII (Centralidades), Eje VIII (Movilidad)",
EJE VI.,47,Turismo de Altura,Principal,Vía Balcón Turística,
EJE VI.,47,Turismo de Altura,Principal,Parque Urbano Central + Mercado Patrimonial,
EJE VI.,48,Patrimonio para el Futuro,Emblemático,Memoria Viva: Adopta tu Patrimonio.,"100 cuadras históricas restauradas: fachadas, iluminación, mobiliario."
EJE VI.,48,Patrimonio para el Futuro,Proyecto 4,"Eje I (Planificación), Eje VII (Barrios), Eje VIII (Espacio público)",
EJE VI.,48,Patrimonio para el Futuro,Principal,Registro Patrimonial + Intervención de Barrios,
EJE VI.,48,Patrimonio para el Futuro,Principal,Custodia Patrimonial Comunitaria,
EJE VI.,49,Infraestructura Cultural y Recreativa,Emblemático,Escenarios Abiertos: Cultura al aire libre.,"Teatro, parque Laikakota, La Bolita, infraestructura multifuncional."
EJE VI.,49,Infraestructura Cultural y Recreativa,Proyecto 4,"Eje II (Salud), Eje IV (Juventud), Eje IX (Verde)",
EJE VI.,49,Infraestructura Cultural y Recreativa,Principal,Renovación del Teatro al Aire Libre,
EJE VI.,49,Infraestructura Cultural y Recreativa,Principal,Centros Culturales Barriales,
EJE VI.,50,Economía Creativa y Naranja,Emblemático,Fondo Cultural Ciudad Humana.,"Portal, ferias, créditos y formación para industrias culturales."
EJE VI.,50,Economía Creativa y Naranja,Proyecto 4,"Eje IV (Emprendimiento), Eje III (Innovación)",
EJE VI.,50,Economía Creativa y Naranja,Principal,Red de Industrias Culturales,
EJE VI.,50,Economía Creativa y Naranja,Principal,Mercado Digital para Creadores,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Emblemático,Mercados con Identidad: Cultura en la Canasta.,"Activaciones culturales, festivales, murales, teatro callejero por zonas."
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Proyecto 1,Caseritas de la Vida,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Proyecto 2,Barrios Culturales,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Proyecto 3,La noche Blanca,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Proyecto 4,"Eje V (Identidad), Eje X (Mancomunidad), Eje IX (Espacios verdes)",
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Principal,Laboratorios de Cultura Viva,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Principal,Escuela de Memoria Barrial,
EJE VII.,52,Planificación Territorial y Urbanismo Eficiente,Emblemático,Mapa Vivo de la Ciudad: Planificación desde la comunidad.,Actualización y aplicación del Plan de Ordenamiento Territorial por distritos
EJE VII.,52,Planificación Territorial y Urbanismo Eficiente,Proyecto 4,"Eje I (Normativa), Eje IX (Clima)",
EJE VII.,52,Planificación Territorial y Urbanismo Eficiente,Principal,Plan de Ordenamiento Territorial,
EJE VII.,52,Planificación Territorial y Urbanismo Eficiente,Principal,Planes Distritales Territoriales,
EJE VII.,53,Habitat Digno y Vivienda Social,Emblemático,Techo con Sentido: Vivienda para la vida.,"Construcción de 2.000 unidades bajo modelos de autoconstrucción asistida, cooperativas y alianzas"
EJE VII.,53,Habitat Digno y Vivienda Social,Proyecto 4,"Eje V (Discapacidad, Adulto Mayor), Eje I",
EJE VII.,53,Habitat Digno y Vivienda Social,Principal,Programa de Rehabilitación de Barrios Populares,
EJE VII.,53,Habitat Digno y Vivienda Social,Principal,Alquiler Social,
EJE VII.,54,Catastro Moderno y Justicia Urbana,Emblemático,Tu Terreno Cuenta: Regularización con justicia social.,Digitalización del 100% de predios urbanos y rurales con enfoque multipropósito
EJE VII.,54,Catastro Moderno y Justicia Urbana,Proyecto 4,"Eje I (Tributación), Eje III (Tecnología)",
EJE VII.,54,Catastro Moderno y Justicia Urbana,Principal,Catastro Digital Territorial,
EJE VII.,54,Catastro Moderno y Justicia Urbana,Principal,Mapeo de Infraestructura y Servicios,
EJE VII.,55,Gestión del Suelo y Asentamientos Seguros,Emblemático,"Barrios Reconocidos, Barrios Cuidados.",Regularización y contención territorial con servicios básicos en zonas priorizadas
EJE VII.,55,Gestión del Suelo y Asentamientos Seguros,Proyecto 4,"Eje IX (Riesgos), Eje II (Salud)",
EJE VII.,55,Gestión del Suelo y Asentamientos Seguros,Principal,Programa de Regularización con Seguridad,
EJE VII.,55,Gestión del Suelo y Asentamientos Seguros,Principal,Protección de Áreas de Riesgo,
EJE VII.,56,Prevención de Riesgos Urbanos,Emblemático,Ciudad Alerta: Simulacros y preparación comunitaria ante riesgos.,"Formación, alarmas, simulacros, mapas participativos de riesgo."
EJE VII.,56,Prevención de Riesgos Urbanos,Proyecto 4,"Eje III (Tecnología), Eje I (Planificación)",
EJE VII.,56,Prevención de Riesgos Urbanos,Principal,Sensores + Centro de Monitoreo,
EJE VII.,56,Prevención de Riesgos Urbanos,Principal,Aplicación de Alerta Temprana,
EJE VII.,57,Sistema Inteligente de Monitoreo de Riesgos,Emblemático,Red de Vigilantes del Territorio.,"Plataforma con sensores, cámaras, big data y equipos en campo."
EJE VII.,57,Sistema Inteligente de Monitoreo de Riesgos,Proyecto 4,"Eje II (Salud Mental), Eje IV (Economía Solidaria)",
EJE VII.,57,Sistema Inteligente de Monitoreo de Riesgos,Principal,Casas Distritales de Cuidados,
EJE VII.,57,Sistema Inteligente de Monitoreo de Riesgos,Principal,Voluntariado Solidario,
EJE VII.,58,Equipamiento y Servicios Urbanos,Emblemático,Equipamos La Paz: Infraestructura con propósito humano.,Plataforma y plan maestro de equipamientos para garantizar cobertura por distrito
EJE VII.,58,Equipamiento y Servicios Urbanos,Proyecto 4,"Eje II (Salud), Eje VIII (Movilidad)",
EJE VII.,58,Equipamiento y Servicios Urbanos,Principal,Infraestructura de Centros de Salud y Educación,
EJE VII.,58,Equipamiento y Servicios Urbanos,Principal,Equipamiento de Barrios Periurbanos,
EJE VII.,59,Rehabilitación de Barrios Históricos,Emblemático,Barrios con Historia Viva: Rehabilitación urbana participativa.,"Renovación de 100 cuadras del centro histórico: fachadas, iluminación, mobiliario"
EJE VII.,59,Rehabilitación de Barrios Históricos,Proyecto 4,"Eje VI (Cultura), Eje X (Turismo)",
EJE VII.,59,Rehabilitación de Barrios Históricos,Principal,Intervención de Calle Jaén y alrededores,
