Código,Compromiso,Eje,Lugar,Proyecto sugerido,Programa,Nivel de encaje,Nota
C048,Programa La Paz Iluminada: recambio de más de 130.000 luminarias LED en la ciudad,Ciudad Conectada,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Alumbrado Solar Distrital,Energias Renovables y Eficiencia Energetica,Alto,"Recambio masivo de luminarias LED (encaje por alumbrado, cross-eje). | afinado: El recambio masivo de 130.000 LED es eficiencia energética del alumbrado público."
C049,Atender el caso del perro comunitario y la jauría de perros en El Vergel,Ciudad de Cuidados y Derechos,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Patitas Seguras: Veterinarias comunitarias y adopcion responsable,Ciudad Protectora de Animales,Alto,Manejo de jauría/perro comunitario.
C050,Reponer las impresoras y el equipamiento informático del Centro de Salud El Vergel,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Equipamiento informático operativo.
C051,Replantear y mejorar las ciclovías de la ciudad junto a la asociación de ciclistas,Ciudad Conectada,"Av. del Poeta y Costanera (ruta ciclovía recreativa), La Paz",Red de Ciclorrutas,Movilidad Urbana Sostenible,Alto,Mejora de ciclovías.
C052,Mesa de diálogo con ciclistas y fraternidades folklóricas para recibir sus propuestas,Ciudad Conectada,"Av. del Poeta y Costanera (ruta ciclovía recreativa), La Paz",Red de Ciclorrutas,Movilidad Urbana Sostenible,Alto,Diálogo con ciclistas sobre ciclovías. | afinado: La mesa con ciclistas alimenta la planificación de la red de ciclorrutas.
C053,Entregar las plazas al folklore como espacios de ensayo,Ciudad Cultural y Turística,"Av. del Poeta y Costanera (ruta ciclovía recreativa), La Paz",Red de Cultura Viva Barrial,Culturas para la Vida,Alto,Espacios de ensayo para el folklore. | afinado: Entregar plazas como espacios de ensayo fortalece la cultura viva barrial.
C054,Segunda fase de recuperación: Parque Urbano Central y remozamiento de Laikacota,Ciudad Planificada y Habitable,"Av. del Poeta y Costanera (ruta ciclovía recreativa), La Paz",Parque Urbano Central + Mercado Patrimonial,Turismo de Altura,Alto,Recuperación de Parque Urbano Central y Laikacota.
C055,Habilitar las Escuelas Municipales de Deportes de vacaciones: 40 puntos y 7 disciplinas,Ciudad Vital,"Av. del Poeta y Costanera (ruta ciclovía recreativa), La Paz",Escuelas Deportivas Barriales,Deporte para la Vida,Alto,Escuelas municipales de deportes.
C056,Bailar con los caporales en su próxima presentación,Tareas operativas,,Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Tarea protocolar/personal.
C057,Realizar la verbena paceña en la Plaza Mayor de San Francisco cuidando el patrimonio,Ciudad Cultural y Turística,"Plaza San Francisco, La Paz",Festival de la Paz,Culturas para la Vida,Alto,Evento cultural masivo en espacio público. | afinado: La verbena en la Plaza San Francisco es el Festival de la Paz.
C058,Coordinar con la Asociación de Folkloristas un programa para posicionar la marca ciudad,Ciudad Cultural y Turística,"Plaza San Francisco, La Paz",Red de Cultura Viva Barrial,Culturas para la Vida,Alto,Articulación con folkloristas / marca ciudad. | afinado: Articular con folkloristas para posicionar la marca es cultura viva barrial.
C059,Retornar el árbol de Navidad a la Plaza de San Francisco,Ciudad Cultural y Turística,"Plaza San Francisco, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Ornamentación estacional operativa.
C060,Acelerar la ejecución del POA en todos los barrios,Ciudad Eficiente y Transparente,,Finanzas Sanas,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Aceleración de ejecución del POA. | afinado: Acelerar la ejecución del POA es gestión interna de ejecución presupuestaria.
C061,Revisar caso de vecino de Callapa sin conexión de gas,Ciudad Planificada y Habitable,,Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Caso puntual de servicio básico.
C062,Atender problema de desplazamiento y planos en Callapa,Ciudad Planificada y Habitable,,Proteccion de Areas de Riesgo,Gestion del Suelo y Asentamientos Seguros,Alto,Desplazamiento/planos en zona de riesgo (Callapa). | afinado: Atender el desplazamiento y planos en Callapa es protección de área de riesgo.
C063,Gestionar ante el gobierno nacional la ampliación del feriado paceño,Ciudad Cultural y Turística,,Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Gestión política ante el nivel nacional.
C064,Definir fases y buscar padrinos para el pintado de fachadas patrimoniales del tramo Montes–Pérez Velasco,Ciudad Cultural y Turística,"Centro histórico (avenida Montes), La Paz",Memoria Viva: Adopta tu Patrimonio,Patrimonio para el Futuro,Alto,Pintado de fachadas patrimoniales con padrinos = adopta tu patrimonio.
C065,Socializar con los negocios la propuesta de letrero único en inmuebles patrimoniales,Ciudad Planificada y Habitable,"Centro histórico (avenida Montes), La Paz",Registro Patrimonial + Intervencion de Barrios,Patrimonio para el Futuro,Alto,Letrero único en inmuebles patrimoniales. | afinado: El letrero único en inmuebles patrimoniales es gestión del patrimonio.
C066,Mostrar en dos semanas el software de trámites digitales desde el celular,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Municipio Inteligente y Humano,Transformacion Digital Ciudadana,Alto,Software de trámites digitales (cross-eje). | afinado: El software de trámites digitales desde el celular es transformación digital municipal.
C067,Desarrollar un programa de apoyo a padres y niños con TDAH y autismo,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Centros Distritales de Salud Mental,Salud Mental Comunitaria,Alto,Apoyo a TDAH y autismo.
C068,Volver la próxima semana a ver la demostración de gimnasia y jugar ajedrez con las escuelas,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Actividad puntual.
C069,Levantar inventario y ordenar los almacenes de material deportivo de Obrajes,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Inventario operativo.
C070,"Gestionar recursos para reparar la piscina, el área de gimnasia y la cancha de básquet",Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Reparación de infraestructura deportiva. | afinado: Reparar la piscina y áreas deportivas rehabilita infraestructura de deporte comunitario.
C071,Resolver la conexión de gas de la piscina de Obrajes,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Conexión de gas operativa.
C072,Trasladar las máquinas del predio de Obrajes el viernes,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Traslado operativo.
C073,Habilitar el salón interior de Obrajes para zumba y yoga de la tercera edad,Ciudad de Cuidados y Derechos,"Piscina Olímpica de Obrajes, La Paz",Clubes de Movimiento y Memoria,Ciudad Longeva y Activa,Alto,Actividades para la tercera edad. | afinado: Habilitar el salón para zumba y yoga de la tercera edad es club de movimiento y memoria.
C074,Instalar baranda de seguridad en la zona insegura de la piscina de Obrajes,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Seguridad menor operativa.
C075,"Compartir con el equipo los documentos del estudio de la marca ciudad 'La Paz, Capital del Cielo'",Ciudad Cultural y Turística,"Centro histórico (avenida Montes), La Paz",La Paz Comunica,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Estudio de marca ciudad. | afinado: Compartir documentos del estudio internamente: acción operativa interna.
C076,Buscar una alternativa para el ordenamiento de cables en las fachadas del centro histórico,Ciudad Planificada y Habitable,"Centro histórico (avenida Montes), La Paz",Barrios con Historia Viva: Rehabilitacion urbana participativa,Rehabilitacion de Barrios Historicos,Alto,Ordenamiento de cables en fachadas del centro. | afinado: Ordenar los cables en fachadas es rehabilitación urbana del centro histórico.
C077,Restituir el POA exclusivo de la Banda Municipal Eduardo Caba,Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Escuelas Municipales de Arte,Culturas para la Vida,Alto,Banda Municipal como institución cultural. | afinado: Restituir el POA de la Banda Municipal sostiene una agrupación artística municipal.
C078,Dotar de uniformes nuevos a la Banda Municipal,Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Dotación operativa (uniformes).
C079,Reparar el bus de la Banda y evaluar un segundo bus,Ciudad Conectada,"Teatro al Aire Libre, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Reparación de bus, operativo."
C080,Gestionar ambiente propio e institucionalización de la Banda Eduardo Caba,Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Escuelas Municipales de Arte,Culturas para la Vida,Alto,Institucionalización de la Banda Municipal. | afinado: Institucionalizar y dar ambiente a la Banda fortalece la agrupación artística municipal.
C081,Agilizar la designación del Director de la Banda Municipal,Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Designación de personal, operativo."
C082,Crear el reglamento de asignación de escenarios municipales (riesgo compartido),Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Escenarios Abiertos: Cultura al aire libre,Infraestructura Cultural y Recreativa,Alto,Reglamento de escenarios municipales. | afinado: El reglamento de asignación de escenarios ordena el uso de los escenarios culturales.
C083,Intervención y mejora de la infraestructura del Teatro al Aire Libre,Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Renovación del Teatro al Aire Libre,Infraestructura Cultural y Recreativa,Alto,Intervención directa del Teatro al Aire Libre.
C084,Corregir las deficiencias operativas del Hospital La Portada,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Deficiencias operativas de hospital. | afinado: Corregir deficiencias operativas del hospital mejora la salud primaria municipal.
C085,Poner en pleno uso y al día el mantenimiento del tomógrafo del Hospital La Portada,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Equipamiento hospitalario (tomógrafo). | afinado: Poner en uso y mantener el tomógrafo equipa el hospital de salud primaria.
C086,Recuperar el acelerador lineal donado (USD 3 MM) que nunca llegó al Hospital La Portada,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,"Equipamiento oncológico (acelerador lineal). | afinado: Recuperar el acelerador lineal donado equipa de oncología al hospital municipal, núcleo de la salud primaria."
C087,Equipar las ambulancias municipales y eliminar el cobro del servicio,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Red de Salud Familiar,Salud Primaria Integral,Alto,Ambulancias y eliminación de cobro. | afinado: Equipar ambulancias y eliminar su cobro fortalece la red de salud familiar.
C088,Digitalizar los expedientes clínicos del Hospital La Portada,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Red de Salud Inteligente de Barrio,Salud Inteligente y Preventiva,Alto,Digitalización de expedientes clínicos.
C089,Instituir inspecciones sorpresa periódicas a los hospitales y centros de salud municipales,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Control de calidad hospitalaria. | afinado: Las inspecciones sorpresa aseguran la calidad de la red de salud primaria.
C090,Recuperar la información no entregada por la gestión saliente en salud,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Recuperación de información, transición."
C091,Paralizar y hacer cumplir la paralización de las construcciones no autorizadas en el Parque 3600 y el Teatrín,Ciudad Planificada y Habitable,"San Jorge–Kantutani (Puente Trillizos), La Paz",Proteccion de Areas de Riesgo,Gestion del Suelo y Asentamientos Seguros,Alto,Paralización de construcciones en zona de riesgo. | afinado: Paralizar construcciones no autorizadas en zona de riesgo protege el área de riesgo.
C092,Instalar las mesas técnicas de diálogo con los vecinos damnificados y definir la ruta crítica del Parque 3600,Ciudad Planificada y Habitable,"San Jorge–Kantutani (Puente Trillizos), La Paz",Proteccion de Areas de Riesgo,Gestion del Suelo y Asentamientos Seguros,Alto,Mesas técnicas con damnificados. | afinado: Las mesas técnicas con damnificados gestionan el riesgo del sitio del Parque 3600.
C093,Concluir y asfaltar la vía que conecta la zona con la avenida Cantutani,Ciudad Conectada,"San Jorge–Kantutani (Puente Trillizos), La Paz",Vias Distritales de Conexion,Infraestructura Vial Estrategica,Alto,Asfaltado de vía de conexión.
C094,Regularizar el derecho propietario municipal del Parque 3600 e impulsar la expropiación para consolidarlo,Ciudad Planificada y Habitable,"San Jorge–Kantutani (Puente Trillizos), La Paz",Tu Terreno Cuenta: Regularizacion con justicia social,Catastro Moderno y Justicia Urbana,Alto,Regularización de derecho propietario y expropiación. | afinado: Regularizar el derecho propietario y la expropiación es catastro y justicia urbana.
C095,Evaluar el estado y el proceso de cierre técnico del ex botadero del Parque 3600,Ciudad Verde,"San Jorge–Kantutani (Puente Trillizos), La Paz",Parques Renovados con Comunidades,Áreas Verdes y Parques Urbanos,Alto,"Cierre técnico de ex botadero. | afinado: Cierre técnico del ex botadero del Parque 3600: podría ser remediación de residuos, gestión de riesgo o el futuro parque; requiere definición de la secretaría. | resuelto 06-ago (confirmado)"
C096,Reponer los insumos de botiquín y bioseguridad de los buses Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Reposición de insumos operativos.
C097,Reparar los ascensores de sillas de ruedas inoperables del Pumakatari y hacer su revisión diaria,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Transporte Accesible,Movilidad Inclusiva y Accesibilidad Universal,Alto,Ascensores de sillas de ruedas en buses. | afinado: Reparar los ascensores de sillas de ruedas es accesibilidad universal del transporte.
C098,Implementar un plan de mantenimiento predictivo documentado para la flota Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Rutas Integradas Inteligentes,Ordenamiento del Transporte Publico Colectivo,Alto,Mantenimiento predictivo de flota. | afinado: El mantenimiento predictivo sostiene la operación confiable del sistema de transporte.
C099,Dotar uniformes nuevos al personal del Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Dotación de uniformes, operativo."
C100,Vacunar contra la influenza al personal del Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Salud laboral operativa.
