Código,Compromiso,Eje,Proyecto,Nivel,Razón
C287,Mejorar la iluminación de la ruta del Gran Poder para la festividad,EJE-08,La Vía es Nuestra: Calles completas para todas las personas.,Alto,Mejora de iluminación vial de la ruta Gran Poder
C288,Pagar los sueldos atrasados a los trabajadores de EMAVERDE,EJE-01,Finanzas Sanas,Paraguas,Pago de sueldos atrasados de EMAVERDE; saneamiento financiero
C289,Presentar la estimación del impacto económico de la verbena paceña,EJE-06,La Paz Se Vive: Rutas humanas y patrimoniales.,Alto,Estimación de impacto económico de evento turístico; cruza a Eje-06
C290,Programar inspección técnica al muro de contención de Seguencoma,EJE-07,Red de Vigilantes del Territorio.,Alto,Inspección técnica y monitoreo del muro de contención
C291,Programar reuniones con las caseras para distribuir espacios durante la verbena,EJE-06,Caseritas de la Vida,Alto,Coordinación con caseras y comerciantes; cruza a Eje-06
C292,Realizar la evaluación de desempeño del personal del Jardín Botánico,EJE-09,Casa Ordenada,Paraguas,Evaluación de desempeño del personal; gestión interna
C293,Recoger y reciclar los troncos podados y caídos del Jardín Botánico,EJE-09,Circular La Paz: Laboratorio de economía regenerativa.,Alto,Reciclaje de troncos podados; economía circular verde
C294,Rediseñar las estructuras del Jardín Botánico con criterio arquitectónico,EJE-09,Parques Renovados con Comunidades,Alto,Rediseño arquitectónico de estructuras del Jardín Botánico
C295,Reforzar la seguridad perimetral del Jardín Botánico,EJE-09,Parques Renovados con Comunidades,Alto,Refuerzo de seguridad perimetral del Jardín Botánico
C296,Registrar el proyecto de gradas eléctricas para San Antonio,EJE-08,Muévete La Paz: Red multimodal sostenible.,Alto,Proyecto de gradas eléctricas; movilidad peatonal multimodal
C297,Remitir a auditoría la falta de pago del servicio de agua de la gestión anterior,EJE-01,Control y Cuentas Claras,Paraguas,Remisión a auditoría interna por deuda impaga
C298,Restituir el agua del Jardín Botánico y los parques (deuda con EPSAS),EJE-09,Finanzas Sanas,Paraguas,Plan de pagos deuda EPSAS; saneamiento financiero
C299,Revisar la normativa de colores hospitalarios y revertir los colores políticos aplicados en el Hospital San Antonio,EJE-02,Clínicas de Vida: Salud donde vives.,Alto,Normativa de colores hospitalarios; cruza a Eje-02 salud
C300,Revisar y corregir el diseño de flujos hospitalarios del Hospital San Antonio,EJE-02,Clínicas de Vida: Salud donde vives.,Alto,Corrección de diseño de flujos hospitalarios; cruza a Eje-02
C301,Sanear la situación financiera integral de EMAVERDE,EJE-04,Auditoría y Reingeniería de EMAVERDE/EMAVIAS,Alto,Saneamiento estructural y reingeniería de EMAVERDE; cruza a Eje-04
