Eje,Nº Programa,Programa,Proyecto,Objetivo (matriz),Tipo (estratégico/general/fortalecimiento),Objetivo del proyecto,"Meta (medible, con cantidad y fecha)",Indicador(es),Resultado 2030,Responsable principal (MOF),Concurrentes (multi-secretaría),Presupuesto estimado (Bs),Fuente de financiamiento,¿Va al Concejo?,RICE Alcance,RICE Impacto (0.25-3),RICE Confianza (%),RICE Esfuerzo (persona-mes),RICE Puntaje,Plazo / hito principal,Actividades (resumen),Compromisos vinculados (C###)
EJE I.,5,Sistema de Recaudación Municipal,Aplicativo de Pago Móvil Municipal,,,,,,,,,,,,,,,,,,,
EJE I.,6,Presupuesto y POA Transparente,Presupuesto Participativo Vecinal.,Facilitar seguimiento de metas presupuestarias por distrito.,,,,,,,,,,,,,,,,,,
EJE I.,6,Presupuesto y POA Transparente,POA Visual Ciudadano,,,,,,,,,,,,,,,,,,,
EJE I.,6,Presupuesto y POA Transparente,Ranking por ejecución y calidad de obras - 10 premios de 100.000 en obras,,,,,,,,,,,,,,,,,,,
EJE I.,6,Presupuesto y POA Transparente,POA Visual Participativo,,,,,,,,,,,,,,,,,,,
EJE I.,6,Presupuesto y POA Transparente,Ranking Distrital de Cumplimiento,,,,,,,,,,,,,,,,,,,
EJE I.,7,Transparencia y Ética Pública Municipal,Transparencia en 1 Click.,Plataforma de transparencia con datos abiertos e infografías.,,,,,,,,,,,,,,,,,,
EJE I.,7,Transparencia y Ética Pública Municipal,Confía La Paz,,,,,,,,,,,,,,,,,,,
EJE I.,8,Participación y Control Social Organizado,Red de Veeduría Ciudad Humana.,Formar actores ciudadanos en fiscalización y seguimiento de obras.,,,,,,,,,,,,,,,,,,
EJE I.,8,Participación y Control Social Organizado,Escuela de Contralores Sociales,,,,,,,,,,,,,,,,,,,
EJE I.,9,Auditoría Técnica y Evaluación Pública,Ciudad con Ojos Abiertos.,Plataforma para validar calidad y avance de proyectos vecinales.,,,,,,,,,,,,,,,,,,
EJE I.,9,Auditoría Técnica y Evaluación Pública,Evalúa Tu Obra,,,,,,,,,,,,,,,,,,,
EJE I.,10,Presupuesto Participativo y Contraloría Social,Presupuesta Tu Barrio.,"Implementar un proceso participativo, digital y deliberativo.",,,,,,,,,,,,,,,,,,
EJE I.,10,Presupuesto Participativo y Contraloría Social,La Paz Decide,,,,,,,,,,,,,,,,,,,
EJE I.,11,Estrategia de Financiamiento Mixto y Fondos Fiduciarios,Banco Social de la Ciudad.,"Crear un mecanismo ágil, auditable y transparente para canalizar inversión estructural.",,,,,,,,,,,,,,,,,,
EJE I.,11,Estrategia de Financiamiento Mixto y Fondos Fiduciarios,Ciudad Humana Invierte,,,,,,,,,,,,,,,,,,,
EJE I.,11,Estrategia de Financiamiento Mixto y Fondos Fiduciarios,Fondo Fiduciario Ciudad Humana (FFCH),,,,,,,,,,,,,,,,,,,
EJE I.,11,Estrategia de Financiamiento Mixto y Fondos Fiduciarios,Unidad Técnica de Proyectos,,,,,,,,,,,,,,,,,,,
EJE I.,12,Estrategia de Financiamiento con participación Privada,Alianzas por la Vida Urbana.,Campaña multisectorial para atraer inversión en proyectos visibles.,,,,,,,,,,,,,,,,,,
EJE I.,12,Estrategia de Financiamiento con participación Privada,Aliados por la Ciudad Humana,,,,,,,,,,,,,,,,,,,
EJE I.,12,Estrategia de Financiamiento con participación Privada,Ventanilla de APP para servicios urbanos,,,,,,,,,,,,,,,,,,,
EJE I.,13,Gestión de Recursos Estatales y Cooperación Internacional,Mapa Integrado de Políticas de Ciudad.,Agenda de proyectos presentada al Gobierno Nacional y multilaterales.,,,,,,,,,,,,,,,,,,
EJE I.,13,Gestión de Recursos Estatales y Cooperación Internacional,La Paz Merece Más,,,,,,,,,,,,,,,,,,,
EJE I.,13,Gestión de Recursos Estatales y Cooperación Internacional,La Paz Merece,,,,,,,,,,,,,,,,,,,
EJE I.,13,Gestión de Recursos Estatales y Cooperación Internacional,Convenios con BID/CAF/ONU,,,,,,,,,,,,,,,,,,,
EJE I.,13,Gestión de Recursos Estatales y Cooperación Internacional,Hábitat,,,,,,,,,,,,,,,,,,,
EJE I.,14,Transformación Digital Ciudadana,Municipio Inteligente y Humano.,"Plataforma integral para interacción ciudadana, trámites, control social y servicios digitales",,,,,,,,,,,,,,,,,,
EJE I.,14,Transformación Digital Ciudadana,Plataforma Ciudad Digital,,,,,,,,,,,,,,,,,,,
EJE I.,14,Transformación Digital Ciudadana,Ciudad Digital Participativa,,,,,,,,,,,,,,,,,,,
EJE I.,14,Transformación Digital Ciudadana,Registro Único del Ciudadano,,,,,,,,,,,,,,,,,,,
EJE II.,15,Salud Primaria Integral,Clínicas de Vida: Salud donde vives.,"Consolidar centros de primer y segundo nivel con atención continua, insumos, y equipo humano.",,,,,,,,,,,,,,,,,,
EJE II.,15,Salud Primaria Integral,"Eje I (Financiamiento), Eje IV (Empleo), Eje IX (Ambiente saludable)",,,,,,,,,,,,,,,,,,,
EJE II.,15,Salud Primaria Integral,Centros Distritales,,,,,,,,,,,,,,,,,,,
EJE II.,15,Salud Primaria Integral,Red de Salud Familiar,,,,,,,,,,,,,,,,,,,
EJE II.,16,Salud Inteligente y Preventiva,Red de Salud Inteligente de Barrio.,Crear un sistema digital integrado de vigilancia epidemiológica y prevención.,,,,,,,,,,,,,,,,,,
EJE II.,16,Salud Inteligente y Preventiva,"Eje III (Innovación), Eje VIII (Movilidad sanitaria), Eje IX (Clima)",,,,,,,,,,,,,,,,,,,
EJE II.,16,Salud Inteligente y Preventiva,Laboratorio de Vigilancia Epidemiológica,,,,,,,,,,,,,,,,,,,
EJE II.,16,Salud Inteligente y Preventiva,App de Salud Preventiva,,,,,,,,,,,,,,,,,,,
EJE II.,17,Salud Mental Comunitaria,"La Paz Te Escucha: Espacios de escucha, contención y acompañamiento.",Crear centros de atención emocional en todos los distritos.,,,,,,,,,,,,,,,,,,
EJE II.,17,Salud Mental Comunitaria,"Eje V (Redes de cuidado), Eje VI (Cultura), Eje IV (Juventudes)",,,,,,,,,,,,,,,,,,,
EJE II.,17,Salud Mental Comunitaria,Centros Distritales de Salud Mental,,,,,,,,,,,,,,,,,,,
EJE II.,17,Salud Mental Comunitaria,Brigadas Escolares de Apoyo Psicológico,,,,,,,,,,,,,,,,,,,
EJE II.,18,Deporte para la Vida (Formativo y comunitario),Barrio Activo: Circuitos deportivos barriales.,"Creación de 50 escuelas deportivas gratuitas en barrios populares con entrenadores formadores, acompañamiento emocional y articulación con unidades educativas.",,,,,,,,,,,,,,,,,,
EJE II.,18,Deporte para la Vida (Formativo y comunitario),"Eje III (Educación), Eje IV (Juventud), Eje V (Prevención)",,,,,,,,,,,,,,,,,,,
EJE II.,18,Deporte para la Vida (Formativo y comunitario),"Eje VII (Espacio público), Eje V (Seguridad), Eje IV (Juventud)",,,,,,,,,,,,,,,,,,,
EJE II.,18,Deporte para la Vida (Formativo y comunitario),Escuelas Deportivas Barriales,,,,,,,,,,,,,,,,,,,
EJE II.,18,Deporte para la Vida (Formativo y comunitario),Deporte con Propósito (Disciplina + valores),,,,,,,,,,,,,,,,,,,
EJE II.,19,Deporte de Alto Rendimiento Paceño (Competitivo y de representación),"Eje VI (Cultura), Eje IV (Juventud), Eje X (Metropolitano)",,,,,,,,,,,,,,,,,,,
EJE II.,19,Deporte de Alto Rendimiento Paceño (Competitivo y de representación),Centro de Alto Rendimiento Paceño,,,,,,,,,,,,,,,,,,,
EJE II.,19,Deporte de Alto Rendimiento Paceño (Competitivo y de representación),Becas para Atletas Urbanos,,,,,,,,,,,,,,,,,,,
EJE II.,20,Control de Alimentos y Salud Nutricional,"Aliméntate Bien, Vive Mejor: Etiqueta municipal de alimentos seguros.",Implementar unidades de control sanitario y educación nutricional.,,,,,,,,,,,,,,,,,,
EJE II.,20,Control de Alimentos y Salud Nutricional,"Eje IV (Mercados), Eje I (Participación), Eje VII (Control urbano)",,,,,,,,,,,,,,,,,,,
EJE II.,20,Control de Alimentos y Salud Nutricional,Reservorios Urbanos,,,,,,,,,,,,,,,,,,,
EJE II.,20,Control de Alimentos y Salud Nutricional,Red de Recolección Pluvial,,,,,,,,,,,,,,,,,,,
EJE II.,21,Agua Segura y Gestión Hídrica,Agua para la Vida: Redes solidarias y tanques comunitarios.,"Generar brigadas de prevención, tanques de reserva, filtros, y control comunitario.",,,,,,,,,,,,,,,,,,
EJE II.,21,Agua Segura y Gestión Hídrica,"Eje IX (Adaptación Climática), Eje X (Gobernanza Metropolitana), Eje I (POA resiliente)",,,,,,,,,,,,,,,,,,,
EJE II.,21,Agua Segura y Gestión Hídrica,Laboratorio Municipal de Alimentos,,,,,,,,,,,,,,,,,,,
EJE II.,21,Agua Segura y Gestión Hídrica,Etiquetado Municipal para Comer Bien,,,,,,,,,,,,,,,,,,,
EJE II.,22,Defensa del Consumidor,Alerta Justa: App para control comunitario de abusos.,Crear canales rápidos de denuncia y mediación municipal.,,,,,,,,,,,,,,,,,,
EJE II.,22,Defensa del Consumidor,"Eje I (Digitalización), Eje IV (Economía local), Eje V (Justicia comunitaria)",,,,,,,,,,,,,,,,,,,
EJE II.,22,Defensa del Consumidor,Ventanilla del Consumidor Municipal,,,,,,,,,,,,,,,,,,,
EJE II.,22,Defensa del Consumidor,Brigadas de Control de Abusos,,,,,,,,,,,,,,,,,,,
EJE III.,23,Infraestructura y Equipamiento Educativo,"Eje II (Salud Escolar), Eje I (Financiamiento), Eje VII (Equipamiento)",,,,,,,,,,,,,,,,,,,
EJE III.,23,Infraestructura y Equipamiento Educativo,Plan de Rehabilitación Escolar,,,,,,,,,,,,,,,,,,,
EJE III.,23,Infraestructura y Equipamiento Educativo,Mantenimiento con Brigadas Ciudadanas,,,,,,,,,,,,,,,,,,,
EJE III.,24,Educación para el Desarrollo,Escuela de Ciudadanía Viva y Aprendizaje Colectivo.,"Diseñar currículas complementarias en valores, clima, género, cultura digital y comunidad.",,,,,,,,,,,,,,,,,,
EJE III.,24,Educación para el Desarrollo,"Eje IV (Juventudes), Eje IX (Clima), Eje V (Convivencia)",,,,,,,,,,,,,,,,,,,
EJE III.,24,Educación para el Desarrollo,Programa “Aprender para la Vida”,,,,,,,,,,,,,,,,,,,
EJE III.,24,Educación para el Desarrollo,Itinerarios Educativos por Talento,,,,,,,,,,,,,,,,,,,
EJE III.,25,Educación Digital y Tecnologías para la Vida,Ciudad Crea: Laboratorios de Innovación Ciudadana.,"Centros barriales con wifi, capacitación en apps, ciudadanía digital y plataformas.",,,,,,,,,,,,,,,,,,
EJE III.,25,Educación Digital y Tecnologías para la Vida,"Eje I (Transformación digital), Eje IV (Empleo), Eje VIII (Conectividad)",,,,,,,,,,,,,,,,,,,
EJE III.,25,Educación Digital y Tecnologías para la Vida,Conectividad Total Distrital,,,,,,,,,,,,,,,,,,,
EJE III.,25,Educación Digital y Tecnologías para la Vida,Centros de Inclusión Digital,,,,,,,,,,,,,,,,,,,
EJE III.,26,Innovación y Tecnología Aplicada,"Eje IX (Economía Circular), Eje VIII (Movilidad), Eje VI (Turismo)",,,,,,,,,,,,,,,,,,,
EJE III.,26,Innovación y Tecnología Aplicada,Hackatones Urbanas,,,,,,,,,,,,,,,,,,,
EJE III.,26,Innovación y Tecnología Aplicada,Desafíos Ciudadanos de Soluciones,,,,,,,,,,,,,,,,,,,
EJE III.,27,Ciudad Inteligente,"Eje I (Digitalización), Eje VII (Ordenamiento), Eje VIII (Control vehicular)",,,,,,,,,,,,,,,,,,,
EJE III.,27,Ciudad Inteligente,Red de Datos Urbanos,,,,,,,,,,,,,,,,,,,
EJE III.,27,Ciudad Inteligente,Paneles de Gestión en Tiempo Real,,,,,,,,,,,,,,,,,,,
EJE III.,28,Laboratorios Urbanos de Innovación Social,Ciudad Humana Innova: Feria anual de soluciones urbanas.,"Espacios comunitarios para idear y testear ideas en salud, seguridad, cultura o reciclaje.",,,,,,,,,,,,,,,,,,
EJE III.,28,Laboratorios Urbanos de Innovación Social,"Eje VI (Cultura), Eje II (Salud mental), Eje IV (Juventudes)",,,,,,,,,,,,,,,,,,,
EJE III.,28,Laboratorios Urbanos de Innovación Social,Proyectos pilotos vecinales,,,,,,,,,,,,,,,,,,,
EJE III.,28,Laboratorios Urbanos de Innovación Social,Fondos de Innovación Participativa,,,,,,,,,,,,,,,,,,,
EJE IV.,29,Autonomía Económica de Mujeres,Fuerza Mujer: Fondo y Red de Apoyo Económico Local.,"Red de capacitación, emprendimiento femenino, fondo semilla y espacios seguros de cuidado.",,,,,,,,,,,,,,,,,,
EJE IV.,29,Autonomía Económica de Mujeres,"Eje V (Igualdad), Eje III (Educación Digital)",,,,,,,,,,,,,,,,,,,
EJE IV.,29,Autonomía Económica de Mujeres,Fuerza Mujer (fondo semilla + cuidados),,,,,,,,,,,,,,,,,,,
EJE IV.,29,Autonomía Económica de Mujeres,Escuelas Productivas para Mujeres,,,,,,,,,,,,,,,,,,,
EJE IV.,30,Juventudes con Futuro,Jóvenes que Transforman: Escuelas de Liderazgo y Emprendimiento.,"10 centros juveniles distritales con enfoque en liderazgo, robótica, deporte y emprendimiento social.",,,,,,,,,,,,,,,,,,
EJE IV.,30,Juventudes con Futuro,"Pasantes para el desarrollo ""Mi primer empleo al servico de La Paz""",,,,,,,,,,,,,,,,,,,
EJE IV.,30,Juventudes con Futuro,"Eje III (Tecnología), Eje VI (Cultura), Eje II (Salud Mental)",,,,,,,,,,,,,,,,,,,
EJE IV.,30,Juventudes con Futuro,Líderes del Bicentenario,,,,,,,,,,,,,,,,,,,
EJE IV.,30,Juventudes con Futuro,Centros de Formación y Liderazgo Juvenil,,,,,,,,,,,,,,,,,,,
EJE IV.,31,Empleo Productivo y Sostenible,Empleo con Rostro Humano: Ferias y Bolsas de Trabajo Comunitarias.,"Talleres de producción local (textil, alimentos, tecnología) con empleabilidad barrial.",,,,,,,,,,,,,,,,,,
EJE IV.,31,Empleo Productivo y Sostenible,"Eje VII (Equipamiento), Eje IX (Reciclaje)",,,,,,,,,,,,,,,,,,,
EJE IV.,31,Empleo Productivo y Sostenible,Fábricas Urbanas Barriales,,,,,,,,,,,,,,,,,,,
EJE IV.,31,Empleo Productivo y Sostenible,Escuelas Taller Municipales,,,,,,,,,,,,,,,,,,,
EJE IV.,32,Empresas Públicas Eficientes,Empresa Ciudad Humana: Servicios que transforman.,"Auditoría técnica y rediseño de EMAVERDE, EMAVIAS, EPSAS y otras.",,,,,,,,,,,,,,,,,,
EJE IV.,32,Empresas Públicas Eficientes,"Eje I (Transparencia), Eje IX (Agua)",,,,,,,,,,,,,,,,,,,
EJE IV.,32,Empresas Públicas Eficientes,Auditoría y Reingeniería de EMAVERDE/EMAVIAS,,,,,,,,,,,,,,,,,,,
EJE IV.,32,Empresas Públicas Eficientes,Centro de Control de Empresas Municipales,,,,,,,,,,,,,,,,,,,
EJE IV.,33,Nuevas Empresas Mixtas,"Eje IX (Residuos), Eje II (Salud), Eje VIII (Logística)",,,,,,,,,,,,,,,,,,,
EJE IV.,33,Nuevas Empresas Mixtas,Empresa de Alimentos Populares,,,,,,,,,,,,,,,,,,,
EJE IV.,33,Nuevas Empresas Mixtas,Empresa Municipal de Residuos,,,,,,,,,,,,,,,,,,,
EJE IV.,34,Mercados y Comercio Digno,"Mi Mercado, Mi Comunidad: Red de Mercados Dignos.","Intervención integral en 30 mercados para infraestructura, digitalización y salud alimentaria.",,,,,,,,,,,,,,,,,,
EJE IV.,34,Mercados y Comercio Digno,"Eje VII (Equipamiento), Eje II (Salud), Eje VI (Cultura)",,,,,,,,,,,,,,,,,,,
EJE IV.,34,Mercados y Comercio Digno,Mercados Ciudad Humana,,,,,,,,,,,,,,,,,,,
EJE IV.,34,Mercados y Comercio Digno,Red de Comercio Digital,,,,,,,,,,,,,,,,,,,
EJE IV.,35,"Planificación Productiva, Competitividad y Oportunidades Territoriales",Distritos con Identidad Productiva.,"Estudios y planes distritales para turismo, agroindustria, economía verde y manufactura.",,,,,,,,,,,,,,,,,,
EJE IV.,35,"Planificación Productiva, Competitividad y Oportunidades Territoriales","Eje IX (Vocación Rural), Eje VI (Turismo), Eje VII (Ordenamiento)",,,,,,,,,,,,,,,,,,,
EJE IV.,35,"Planificación Productiva, Competitividad y Oportunidades Territoriales",Distritos Productivos,,,,,,,,,,,,,,,,,,,
EJE IV.,35,"Planificación Productiva, Competitividad y Oportunidades Territoriales",Feria Metropolitana de Vocaciones,,,,,,,,,,,,,,,,,,,
EJE IV.,36,Ecosistema Municipal del Emprendimiento,Impulsa Tu Sueño: Aceleradora de Emprendimientos Sociales.,"Centro de formación, incubadora, ferias distritales, mentorías, plataforma digital de apoyo.",,,,,,,,,,,,,,,,,,
EJE IV.,36,Ecosistema Municipal del Emprendimiento,"Eje III (Innovación), Eje IX (Circular), Eje X (Metropolitano)",,,,,,,,,,,,,,,,,,,
EJE IV.,36,Ecosistema Municipal del Emprendimiento,Instituto Municipal de Emprendimiento,,,,,,,,,,,,,,,,,,,
EJE IV.,36,Ecosistema Municipal del Emprendimiento,Ferias + Incubadoras,,,,,,,,,,,,,,,,,,,
EJE IV.,37,"Economía Social, Solidaria y Popular",Red Solidaria La Paz: Plataforma de Consumo Justo.,Mapeo y fortalecimiento de más de 100 redes económicas barriales autogestionadas.,,,,,,,,,,,,,,,,,,
EJE IV.,37,"Economía Social, Solidaria y Popular",Centros de Oportunidades Ciudadanas.,Mapeo y fortalecimiento de más de 100 redes económicas barriales autogestionadas.,,,,,,,,,,,,,,,,,,
EJE IV.,37,"Economía Social, Solidaria y Popular",Tu Barrio tu cooperativa,,,,,,,,,,,,,,,,,,,
EJE IV.,37,"Economía Social, Solidaria y Popular","Eje II (Salud), Eje IX (Reciclaje), Eje V (Adultos Mayores)",,,,,,,,,,,,,,,,,,,
EJE IV.,37,"Economía Social, Solidaria y Popular",Redes de Trueque y Ferias Solidarias,,,,,,,,,,,,,,,,,,,
EJE IV.,37,"Economía Social, Solidaria y Popular",Cooperativas Barriales,,,,,,,,,,,,,,,,,,,
EJE V.,38,Ciudad Longeva y Activa,Red de Centros Vida: Clubes del Buen Vivir para Adultos Mayores.,"Centros distritales de socialización, salud y participación activa.",,,,,,,,,,,,,,,,,,
EJE V.,38,Ciudad Longeva y Activa,"Eje II (Salud), Eje IX (Verde)",,,,,,,,,,,,,,,,,,,
EJE V.,38,Ciudad Longeva y Activa,Casas Distritales del Adulto Mayor,,,,,,,,,,,,,,,,,,,
EJE V.,38,Ciudad Longeva y Activa,Clubes de Movimiento y Memoria,,,,,,,,,,,,,,,,,,,
EJE V.,39,Ciudad Inclusiva con Discapacidad,"Ruta Inclusiva: Calles, plazas y servicios para todos.","Infraestructura accesible, bonos solidarios, cultura inclusiva.",,,,,,,,,,,,,,,,,,
EJE V.,39,Ciudad Inclusiva con Discapacidad,"Eje VII (Infraestructura), Eje III (Innovación)",,,,,,,,,,,,,,,,,,,
EJE V.,39,Ciudad Inclusiva con Discapacidad,Red de Accesibilidad Territorial,,,,,,,,,,,,,,,,,,,
EJE V.,39,Ciudad Inclusiva con Discapacidad,Banco de Ayudas Técnicas,,,,,,,,,,,,,,,,,,,
EJE V.,40,Infancia y Adolescencia Protegida,"Voces Pequeñas, Decisiones Grandes: Participación Infantil Barrial.","Brigadas escolares, ludotecas, unidades móviles de atención.",,,,,,,,,,,,,,,,,,
EJE V.,40,Infancia y Adolescencia Protegida,"Eje II (Salud mental), Eje VI (Cultura)",,,,,,,,,,,,,,,,,,,
EJE V.,40,Infancia y Adolescencia Protegida,Escuelas de Familias,,,,,,,,,,,,,,,,,,,
EJE V.,40,Infancia y Adolescencia Protegida,Casas de Protección Integral,,,,,,,,,,,,,,,,,,,
EJE V.,41,Ciudad Segura para las Mujeres,Ciudad de La Mujer,,,,,,,,,,,,,,,,,,,
EJE V.,41,Ciudad Segura para las Mujeres,"Eje IX (Salud Ambiental), Eje VI (Cultura Comunitaria)",,,,,,,,,,,,,,,,,,,
EJE V.,41,Ciudad Segura para las Mujeres,Centro de Bienestar Animal,,,,,,,,,,,,,,,,,,,
EJE V.,41,Ciudad Segura para las Mujeres,Brigadas de Protección de Mascotas,,,,,,,,,,,,,,,,,,,
EJE V.,42,Seguridad Ciudadana con Comunidad,Barrios Seguros desde la Comunidad: Alarmas con vecinos y cultura de paz.,"Cámaras, luminarias, alarmas comunitarias, patrullaje conjunto.",,,,,,,,,,,,,,,,,,
EJE V.,42,Seguridad Ciudadana con Comunidad,"Eje IX (Adaptación Climática), Eje I (Gestión de Riesgo)",,,,,,,,,,,,,,,,,,,
EJE V.,42,Seguridad Ciudadana con Comunidad,Intervención de 180 Taludes,,,,,,,,,,,,,,,,,,,
EJE V.,42,Seguridad Ciudadana con Comunidad,Forestación de Quebradas,,,,,,,,,,,,,,,,,,,
EJE V.,43,Redes de Cuidado Intergeneracional,Tejiendo Cuidados: Espacios de encuentro entre generaciones.,"Espacios de encuentro entre jóvenes, adultos mayores y cuidadores.",,,,,,,,,,,,,,,,,,
EJE V.,43,Redes de Cuidado Intergeneracional,"Eje VII (Catastro), Eje X (Mancomunidad)",,,,,,,,,,,,,,,,,,,
EJE V.,43,Redes de Cuidado Intergeneracional,Programa de Alquiler Social,,,,,,,,,,,,,,,,,,,
EJE V.,43,Redes de Cuidado Intergeneracional,Mejoramiento de Viviendas Populares,,,,,,,,,,,,,,,,,,,
EJE V.,44,Atención a Personas en Situación de Calle,"Eje I (Participación), Eje III (Educación Legal)",,,,,,,,,,,,,,,,,,,
EJE V.,44,Atención a Personas en Situación de Calle,Casas Distritales de Justicia,,,,,,,,,,,,,,,,,,,
EJE V.,44,Atención a Personas en Situación de Calle,Mediación Comunitaria,,,,,,,,,,,,,,,,,,,
EJE V.,45,Ciudad Protectora de Animales,Patitas Seguras: Veterinarias comunitarias y adopción responsable.,"Centro de atención veterinaria, esterilización, control y adopción.",,,,,,,,,,,,,,,,,,
EJE V.,45,Ciudad Protectora de Animales,"Eje I (APPs), Eje VIII (Iluminación)",,,,,,,,,,,,,,,,,,,
EJE V.,45,Ciudad Protectora de Animales,Redes Vecinales Inteligentes,,,,,,,,,,,,,,,,,,,
EJE V.,45,Ciudad Protectora de Animales,Iluminación Pública Participativa,,,,,,,,,,,,,,,,,,,
EJE VI.,46,Culturas para la Vida,Red de Cultura Viva Barrial.,"15 centros culturales barriales con talleres, exposiciones y formación.",,,,,,,,,,,,,,,,,,
EJE VI.,46,Culturas para la Vida,"Eje II (Salud mental), Eje III (Educación), Eje X (Metropolitano)",,,,,,,,,,,,,,,,,,,
EJE VI.,46,Culturas para la Vida,Festival de la Paz,,,,,,,,,,,,,,,,,,,
EJE VI.,46,Culturas para la Vida,Escuelas Municipales de Arte,,,,,,,,,,,,,,,,,,,
EJE VI.,47,Turismo de Altura,La Paz Se Vive: Rutas humanas y patrimoniales.,"Circuito turístico-cultural con señalética, guías, eventos y patrimonio.",,,,,,,,,,,,,,,,,,
EJE VI.,47,Turismo de Altura,"Eje IV (Economía), Eje VII (Centralidades), Eje VIII (Movilidad)",,,,,,,,,,,,,,,,,,,
EJE VI.,47,Turismo de Altura,Vía Balcón Turística,,,,,,,,,,,,,,,,,,,
EJE VI.,47,Turismo de Altura,Parque Urbano Central + Mercado Patrimonial,,,,,,,,,,,,,,,,,,,
EJE VI.,48,Patrimonio para el Futuro,Memoria Viva: Adopta tu Patrimonio.,"100 cuadras históricas restauradas: fachadas, iluminación, mobiliario.",,,,,,,,,,,,,,,,,,
EJE VI.,48,Patrimonio para el Futuro,"Eje I (Planificación), Eje VII (Barrios), Eje VIII (Espacio público)",,,,,,,,,,,,,,,,,,,
EJE VI.,48,Patrimonio para el Futuro,Registro Patrimonial + Intervención de Barrios,,,,,,,,,,,,,,,,,,,
EJE VI.,48,Patrimonio para el Futuro,Custodia Patrimonial Comunitaria,,,,,,,,,,,,,,,,,,,
EJE VI.,49,Infraestructura Cultural y Recreativa,Escenarios Abiertos: Cultura al aire libre.,"Teatro, parque Laikakota, La Bolita, infraestructura multifuncional.",,,,,,,,,,,,,,,,,,
EJE VI.,49,Infraestructura Cultural y Recreativa,"Eje II (Salud), Eje IV (Juventud), Eje IX (Verde)",,,,,,,,,,,,,,,,,,,
EJE VI.,49,Infraestructura Cultural y Recreativa,Renovación del Teatro al Aire Libre,,,,,,,,,,,,,,,,,,,
