Código,Título,Eje,Lugar,Estado
C055,Habilitar las Escuelas Municipales de Deportes de vacaciones: 40 puntos y 7 disciplinas,Ciudad Vital,"Av. del Poeta y Costanera (ruta ciclovía recreativa), La Paz",Vigente
C056,Bailar con los caporales en su próxima presentación,Tareas operativas,,Vigente
C057,Realizar la verbena paceña en la Plaza Mayor de San Francisco cuidando el patrimonio,Ciudad Cultural y Turística,"Plaza San Francisco, La Paz",Vigente
C058,Coordinar con la Asociación de Folkloristas un programa para posicionar la marca ciudad,Ciudad Cultural y Turística,"Plaza San Francisco, La Paz",Vigente
C059,Retornar el árbol de Navidad a la Plaza de San Francisco,Ciudad Cultural y Turística,"Plaza San Francisco, La Paz",Vigente
C060,Acelerar la ejecución del POA en todos los barrios,Ciudad Eficiente y Transparente,,Vigente
C061,Revisar caso de vecino de Callapa sin conexión de gas,Ciudad Planificada y Habitable,,Vigente
C062,Atender problema de desplazamiento y planos en Callapa,Ciudad Planificada y Habitable,,Vigente
C063,Gestionar ante el gobierno nacional la ampliación del feriado paceño,Ciudad Cultural y Turística,,Vigente
C064,Definir fases y buscar padrinos para el pintado de fachadas patrimoniales del tramo Montes–Pérez Velasco,Ciudad Cultural y Turística,"Centro histórico (avenida Montes), La Paz",Vigente
C065,Socializar con los negocios la propuesta de letrero único en inmuebles patrimoniales,Ciudad Planificada y Habitable,"Centro histórico (avenida Montes), La Paz",Vigente
C066,Mostrar en dos semanas el software de trámites digitales desde el celular,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Vigente
C067,Desarrollar un programa de apoyo a padres y niños con TDAH y autismo,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Vigente
C068,Volver la próxima semana a ver la demostración de gimnasia y jugar ajedrez con las escuelas,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Vigente
C069,Levantar inventario y ordenar los almacenes de material deportivo de Obrajes,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Vigente
C070,"Gestionar recursos para reparar la piscina, el área de gimnasia y la cancha de básquet",Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Vigente
C071,Resolver la conexión de gas de la piscina de Obrajes,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Vigente
C072,Trasladar las máquinas del predio de Obrajes el viernes,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Vigente
C073,Habilitar el salón interior de Obrajes para zumba y yoga de la tercera edad,Ciudad de Cuidados y Derechos,"Piscina Olímpica de Obrajes, La Paz",Vigente
C074,Instalar baranda de seguridad en la zona insegura de la piscina de Obrajes,Ciudad Vital,"Piscina Olímpica de Obrajes, La Paz",Aprobado por despacho del alcalde
C075,"Compartir con el equipo los documentos del estudio de la marca ciudad 'La Paz, Capital del Cielo'",Ciudad Cultural y Turística,"Centro histórico (avenida Montes), La Paz",Vigente
C076,Buscar una alternativa para el ordenamiento de cables en las fachadas del centro histórico,Ciudad Planificada y Habitable,"Centro histórico (avenida Montes), La Paz",Vigente
C077,Restituir el POA exclusivo de la Banda Municipal Eduardo Caba,Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Vigente
C078,Dotar de uniformes nuevos a la Banda Municipal,Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Vigente
C079,Reparar el bus de la Banda y evaluar un segundo bus,Ciudad Conectada,"Teatro al Aire Libre, La Paz",Vigente
C080,Gestionar ambiente propio e institucionalización de la Banda Eduardo Caba,Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Vigente
C081,Agilizar la designación del Director de la Banda Municipal,Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",En revisión
C082,Crear el reglamento de asignación de escenarios municipales (riesgo compartido),Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Vigente
C083,Intervención y mejora de la infraestructura del Teatro al Aire Libre,Ciudad Cultural y Turística,"Teatro al Aire Libre, La Paz",Vigente
C084,Corregir las deficiencias operativas del Hospital La Portada,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Vigente
C085,Poner en pleno uso y al día el mantenimiento del tomógrafo del Hospital La Portada,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Vigente
C086,Recuperar el acelerador lineal donado (USD 3 MM) que nunca llegó al Hospital La Portada,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Vigente
C087,Equipar las ambulancias municipales y eliminar el cobro del servicio,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Vigente
C088,Digitalizar los expedientes clínicos del Hospital La Portada,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Vigente
C089,Instituir inspecciones sorpresa periódicas a los hospitales y centros de salud municipales,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Vigente
C090,Recuperar la información no entregada por la gestión saliente en salud,Ciudad Vital,"Hospital Municipal La Portada, La Paz",Vigente
C091,Paralizar y hacer cumplir la paralización de las construcciones no autorizadas en el Parque 3600 y el Teatrín,Ciudad Planificada y Habitable,"San Jorge–Kantutani (Puente Trillizos), La Paz",Vigente
C092,Instalar las mesas técnicas de diálogo con los vecinos damnificados y definir la ruta crítica del Parque 3600,Ciudad Planificada y Habitable,"San Jorge–Kantutani (Puente Trillizos), La Paz",Vigente
C093,Concluir y asfaltar la vía que conecta la zona con la avenida Cantutani,Ciudad Conectada,"San Jorge–Kantutani (Puente Trillizos), La Paz",Vigente
C094,Regularizar el derecho propietario municipal del Parque 3600 e impulsar la expropiación para consolidarlo,Ciudad Planificada y Habitable,"San Jorge–Kantutani (Puente Trillizos), La Paz",Vigente
C095,Evaluar el estado y el proceso de cierre técnico del ex botadero del Parque 3600,Ciudad Verde,"San Jorge–Kantutani (Puente Trillizos), La Paz",Vigente
C096,Reponer los insumos de botiquín y bioseguridad de los buses Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Vigente
C097,Reparar los ascensores de sillas de ruedas inoperables del Pumakatari y hacer su revisión diaria,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Vigente
C098,Implementar un plan de mantenimiento predictivo documentado para la flota Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Vigente
C099,Dotar uniformes nuevos al personal del Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Vigente
C100,Vacunar contra la influenza al personal del Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Vigente
C101,Eliminar el cobro de pasaje a los trabajadores del Pumakatari y crear la tarjeta de funcionario,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Vigente
C102,Habilitar comedor/descanso y estacionamiento de motos para el personal del patio Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Vigente
C103,Mejorar el sistema de carga de combustible en los patios del Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Vigente
C104,Implementar el sistema integrado de transporte de La Paz,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Vigente
C105,Evaluar y reestructurar las rutas deficitarias del Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Vigente
C106,Eliminar los cobros indebidos de prestaciones del SUS en el Hospital La Paz,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Vigente
C107,Reformular e incrementar el presupuesto del Hospital La Paz,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Vigente
C108,Renovar el equipamiento obsoleto del Hospital La Paz,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Vigente
C109,Digitalizar las historias clínicas del Hospital La Paz,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Vigente
C110,Auditar el uso del presupuesto de construcción del Hospital San Antonio,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Vigente
C111,Implementar los hospitales móviles de salud preventiva para la mujer,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Vigente
C112,Reponer la vía colapsada de Bajo Llojeta,Ciudad Planificada y Habitable,"Bajo Llojeta, La Paz",Vigente
C113,Disponer maquinaria y personal para la limpieza preventiva del río de Bajo Llojeta cada temporada de lluvias,Ciudad Planificada y Habitable,"Bajo Llojeta, La Paz",Vigente
C114,Ejecutar la intervención integral definitiva del talud y el río de Bajo Llojeta,Ciudad Planificada y Habitable,"Bajo Llojeta, La Paz",Vigente
C115,Impedir nuevos asentamientos y notificar las construcciones en la zona de riesgo de Bajo Llojeta,Ciudad Planificada y Habitable,"Bajo Llojeta, La Paz",Vigente
C116,Evaluar el convenio con la cementera (SOBOCE) por el material aluvial de la limpieza de cabeceras,Ciudad Planificada y Habitable,"Bajo Llojeta, La Paz",Vigente
C117,Retirar y reponer los bolardos viales dañados de la ciudad,Ciudad Conectada,"Achumani, La Paz",Vigente
C118,Remozar y mantener el parque de Achumani (áreas verdes y equipamiento),Ciudad Verde,"Achumani, La Paz",Vigente
C119,Controlar la velocidad de los camiones de áridos y extender el rompemuelles en Achumani,Ciudad Conectada,"Achumani, La Paz",Vigente
C120,Inspeccionar y corregir el riesgo eléctrico del Colegio Chumán,Ciudad Planificada y Habitable,"Achumani, La Paz",Vigente
C121,Gestionar el cambio de nombre del parque Hermann Maynard,Ciudad Planificada y Habitable,"Achumani, La Paz",Vigente
C122,Separar los equipos de SLIM y DNA en las plataformas de atención,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C123,Aumentar el personal de las defensorías vía convenios con universidades,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C124,Dotar movilidad y combustible a las defensorías,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C125,Convertir los SLIM a atención 24/7 por equipos,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C126,Trasladar la plataforma del Distrito 3 al inmueble recuperado de Nicolás Acosta,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C127,Gestionar un fiscal e investigador asignados a las plataformas SLIM,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C128,Digitalizar los casos de las defensorías,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C129,Fortalecer los albergues y crear la red de protección para víctimas,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C130,Brindar contención psicológica al personal de las defensorías,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C131,Implementar el programa 'mujer a mujer' de acompañamiento a víctimas,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C132,Descentralizar el centro de terapia a las plataformas,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C133,Implementar escuelas de padres y profesionales en las unidades educativas,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Vigente
C134,Instalar bolardos metálicos en la acera del Santuario del Gran Poder,Ciudad Conectada,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Vigente
C135,Aumentar el personal de la Intendencia Municipal para el control del comercio,Ciudad Productiva,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Vigente
C136,Instalar cámaras de seguridad y botones de pánico en la zona del Gran Poder,Ciudad de Cuidados y Derechos,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Vigente
C137,Revisar los garages de eventos con exceso de sonido en la Zona Rosa,Ciudad Planificada y Habitable,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Vigente
C138,Reparar las aceras de la ruta del Gran Poder por acción comunal con la asociación de carpinteros,Ciudad Conectada,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Vigente
C139,Evaluar el cambio de ruta del Gran Poder por la Tumusla,Ciudad Cultural y Turística,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Vigente
C140,Fortalecer la guardia municipal,Ciudad de Cuidados y Derechos,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Vigente
C141,Cerrar e inventariar con notario el complejo deportivo Luis Lastra,Ciudad Vital,"Complejo Deportivo Luis Lastra, La Paz",Vigente
C142,Auditar el manejo de la infraestructura deportiva Luis Lastra,Ciudad Vital,"Complejo Deportivo Luis Lastra, La Paz",Vigente
C143,Rehabilitar y reponer los servicios del complejo deportivo Luis Lastra,Ciudad Vital,"Complejo Deportivo Luis Lastra, La Paz",Vigente
C144,Reasignar a la Dirección de Deportes el control de sus activos deportivos,Ciudad Vital,"Complejo Deportivo Luis Lastra, La Paz",Vigente
C145,Regularizar el exceso de personal de EMAVERDE mediante jubilaciones,Ciudad Eficiente y Transparente,"EMAVERDE (planta central), Sopocachi, La Paz",Vigente
C146,Dar de baja la maquinaria obsoleta de EMAVERDE,Ciudad Eficiente y Transparente,"EMAVERDE (planta central), Sopocachi, La Paz",Vigente
C147,"Reponer los insumos, medicamentos y comida de la Casa de la Mascota y garantizar la cadena de frío",Ciudad de Cuidados y Derechos,"Casa de la Mascota (Villa San Antonio), La Paz",Vigente
C148,Refaccionar la infraestructura de la Casa de la Mascota,Ciudad de Cuidados y Derechos,"Casa de la Mascota (Villa San Antonio), La Paz",Vigente
C149,Auditar la gestión de la Casa de la Mascota y regularizar sus activos,Ciudad de Cuidados y Derechos,"Casa de la Mascota (Villa San Antonio), La Paz",Vigente
C150,Desburocratizar las denuncias e implementar la sanción directa en la Casa de la Mascota,Ciudad de Cuidados y Derechos,"Casa de la Mascota (Villa San Antonio), La Paz",Vigente
C151,Reinstalar las cámaras y recalibrar la báscula del ex relleno de Mallasa,Ciudad Verde,"Ex relleno sanitario de Mallasa, La Paz",Vigente
C152,Conformar y estabilizar los taludes y el lixiviado del ex relleno de Mallasa,Ciudad Verde,"Ex relleno sanitario de Mallasa, La Paz",Vigente
C153,Restaurar el ex relleno de Mallasa como santuario de avifauna y área verde recreativa,Ciudad Verde,"Ex relleno sanitario de Mallasa, La Paz",Vigente
C154,Auditar el proyecto del puente de Aranjuez,Ciudad Conectada,"Puente de Aranjuez, La Paz",Vigente
C155,Resolver la accesibilidad y la conectividad del puente de Aranjuez,Ciudad Conectada,"Puente de Aranjuez, La Paz",Vigente
C156,Evaluar y reforzar el puente antiguo de Aranjuez,Ciudad Conectada,"Puente de Aranjuez, La Paz",Vigente
C157,Actualizar el plan de manejo e implementar la identificación de los animales del bioparque Vesty Pakos,Ciudad Verde,"Bioparque Municipal Vesty Pakos, Mallasa, La Paz",Vigente
C158,Mejorar el bienestar animal del bioparque Vesty Pakos (hábitat de pumas y jaulas de aves),Ciudad Verde,"Bioparque Municipal Vesty Pakos, Mallasa, La Paz",Vigente
C159,Crear rutas accesibles diferenciadas y áreas de descanso en el bioparque Vesty Pakos,Ciudad Verde,"Bioparque Municipal Vesty Pakos, Mallasa, La Paz",Vigente
C160,Retomar el convenio con la ONG WCS para el bioparque Vesty Pakos,Ciudad Verde,"Bioparque Municipal Vesty Pakos, Mallasa, La Paz",Vigente
C161,Evaluar la efectividad de la intervención geotécnica de Pampajasí antes de nuevas inversiones,Ciudad Planificada y Habitable,"Cancha Venus, Pampajasí, La Paz",Vigente
C162,"Reponer las afectaciones de la obra en Pampajasí (vía, cámaras, viviendas y cableado)",Ciudad Conectada,"Cancha Venus, Pampajasí, La Paz",Vigente
C163,Estabilizar e intervenir la cancha Venus (césped sintético e iluminación) y apoyar las escuelas de fútbol,Ciudad Vital,"Cancha Venus, Pampajasí, La Paz",Vigente
C164,"Establecer inspecciones permanentes de control de precio, peso y calidad en los mercados",Ciudad Productiva,"Mercado Rodríguez, La Paz",Vigente
C165,Coordinar con las empresas de la canasta básica el abastecimiento y la distribución a mayoristas,Ciudad Productiva,"Mercado Rodríguez, La Paz",Vigente
C166,Reubicar el contenedor de basura del Mercado Rodríguez que contamina los alimentos,Ciudad Verde,"Mercado Rodríguez, La Paz",Vigente
C167,Ampliar el horario del Mercado El Tejar en temporada de frutas,Ciudad Productiva,"Mercado El Tejar, Max Paredes, La Paz",Vigente
C168,Implementar el plan 'Mercados Dignos' con ferias del productor al consumidor,Ciudad Productiva,"Mercado El Tejar, Max Paredes, La Paz",Vigente
C169,Resolver los 400 trámites parados en la Subalcaldía Sur,Ciudad Eficiente y Transparente,"Subalcaldía Sur / Piscina de Obrajes, La Paz",Vigente
C170,Renovar el equipamiento informático y las movilidades de la Subalcaldía Sur,Ciudad Eficiente y Transparente,"Subalcaldía Sur / Piscina de Obrajes, La Paz",Vigente
C171,Dar mantenimiento al edificio patrimonial de la Subalcaldía Sur,Ciudad Eficiente y Transparente,"Subalcaldía Sur / Piscina de Obrajes, La Paz",Vigente
C172,Dotar botiquín y equipamiento de seguridad a la Piscina de Obrajes,Ciudad Vital,"Subalcaldía Sur / Piscina de Obrajes, La Paz",Vigente
C173,Destrabar los trámites parados en la Subalcaldía Max Paredes,Ciudad Eficiente y Transparente,"Subalcaldía Max Paredes, La Paz",Vigente
C174,Entregar los textos escolares retenidos y regularizar el archivo de la Subalcaldía Max Paredes,Ciudad Eficiente y Transparente,"Subalcaldía Max Paredes, La Paz",Vigente
C175,Ejecutar la intervención urgente del riesgo geotécnico en la avenida América (Max Paredes),Ciudad Planificada y Habitable,"Subalcaldía Max Paredes, La Paz",Vigente
C176,Programar el lavado y la limpieza integral del Mercado Uruguay,Ciudad Productiva,"Subalcaldía Max Paredes, La Paz",Vigente
C177,Ejecutar el mantenimiento integral de las paradas del Pumakatari,Ciudad Conectada,"SETRAM (Parque Urbano Central), La Paz",Vigente
C178,"Desarrollar los sistemas internos del SETRAM (flota, combustible y trámites)",Ciudad Conectada,"SETRAM (Parque Urbano Central), La Paz",Vigente
C179,Regularizar y digitalizar el archivo y los activos del SETRAM,Ciudad Conectada,"SETRAM (Parque Urbano Central), La Paz",Vigente
C180,Reparar el muro colapsado que infiltra las fundaciones del edificio del Mercado Camacho,Ciudad Planificada y Habitable,"Mercado Camacho, La Paz",Vigente
C181,"Mejorar los servicios de atención del edificio del Mercado Camacho (adulto mayor, guardería y discapacidad)",Ciudad de Cuidados y Derechos,"Mercado Camacho, La Paz",Vigente
C182,Rehabilitar y poner en funcionamiento el albergue municipal de la calle Chuquisaca,Ciudad de Cuidados y Derechos,"Albergue municipal de la calle Chuquisaca, La Paz",Vigente
C183,Corregir el sistema de atención de la línea de emergencia contra la violencia,Ciudad de Cuidados y Derechos,"Albergue municipal de la calle Chuquisaca, La Paz",Vigente
C184,"Habilitar un albergue de invierno de emergencia para mujeres, niños y personas en situación de calle",Ciudad de Cuidados y Derechos,"Albergue municipal de la calle Chuquisaca, La Paz",Vigente
C185,Renovar el equipamiento de trabajo y adecuar el almacén de la Subalcaldía Centro,Ciudad Eficiente y Transparente,"Subalcaldía Centro, La Paz",Vigente
C186,Reutilizar las luminarias y bolardos obsoletos de la Subalcaldía Centro,Ciudad Conectada,"Subalcaldía Centro, La Paz",Vigente
C187,Reparar las aceras de Miraflores por acción comunal con los vecinos,Ciudad Conectada,"Subalcaldía Centro, La Paz",Vigente
C188,"Modernizar la Terminal de Buses (señalética, imagen institucional y digitalización de tickets)",Ciudad Conectada,"Terminal de Buses, La Paz",Vigente
C189,Regularizar los bienes donados y completar la videovigilancia de la Terminal de Buses,Ciudad Conectada,"Terminal de Buses, La Paz",Vigente
C190,Rehabilitar y abrir el albergue Zenobio López para personas en situación de calle,Ciudad de Cuidados y Derechos,"Terminal de Buses, La Paz",Vigente
C191,"Extender el programa de alimentación a personas en situación de calle, adultos mayores y de bajos recursos",Ciudad de Cuidados y Derechos,"Terminal de Buses, La Paz",Vigente
