Código,Compromiso,Secretaría,Proyecto original,Proyecto afinado,Programa afinado,Nivel afinado,Motivo
C180,Reparar el muro colapsado que infiltra las fundaciones del edificio del Mercado Camacho,SM Ciudad Planificada y Habitable,"Mi Mercado, Mi Comunidad: Red de Mercados Dignos","Mi Mercado, Mi Comunidad: Red de Mercados Dignos",Mercados y Comercio Digno,Alto,Reparar el muro que infiltra las fundaciones dignifica y protege el edificio del mercado.
C234,Estudiar y rehabilitar el túnel/bocamina de drenaje de San Juan Cotahuma,SM Ciudad Planificada y Habitable,Infraestructura de Drenaje Verde,Infraestructura de Drenaje Verde,Adaptacion Climatica Urbana y Gestion Hidrica,Alto,Rehabilitar el túnel/bocamina de drenaje es infraestructura de drenaje.
C240,Recuperar y regularizar el condominio de afectados de San Isidro (mal utilizado),SM Ciudad Planificada y Habitable,Programa de Regularizacion con Seguridad,Programa de Regularizacion con Seguridad,Gestion del Suelo y Asentamientos Seguros,Alto,Recuperar y regularizar el condominio de afectados es regularización del suelo con seguridad.
C135,Aumentar el personal de la Intendencia Municipal para el control del comercio,SM Ciudad Productiva,Mercados Ciudad Humana,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,"Incremento de personal de la Intendencia: fortalecimiento operativo de control, no un proyecto."
C165,Coordinar con las empresas de la canasta básica el abastecimiento y la distribución a mayoristas,SM Ciudad Productiva,Empresa de Alimentos Populares,Empresa de Alimentos Populares,Nuevas Empresas Mixtas,Alto,Coordinar el abastecimiento de la canasta básica sostiene la empresa de alimentos populares.
C167,Ampliar el horario del Mercado El Tejar en temporada de frutas,SM Ciudad Productiva,Mercados Ciudad Humana,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Ampliación de horario de mercado: decisión de gestión operativa.
C176,Programar el lavado y la limpieza integral del Mercado Uruguay,SM Ciudad Productiva,"Mi Mercado, Mi Comunidad: Red de Mercados Dignos",Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Lavado/limpieza integral de mercado: mantenimiento operativo.
C196,Revisar el caso del Mercado Los Pinos y regularizar las patentes de los comerciantes,SM Ciudad Productiva,"Mi Mercado, Mi Comunidad: Red de Mercados Dignos","Mi Mercado, Mi Comunidad: Red de Mercados Dignos",Mercados y Comercio Digno,Alto,Regularizar patentes formaliza el comercio del mercado.
C224,Regularizar la publicidad en vía de la avenida Costanera y cuantificar el hurto de energía del alumbrado público,SM Ciudad Productiva,Regulacion del Espacio Publico,Regulacion del Espacio Publico,Parqueo y Control del Espacio Publico Vial,Alto,Regularizar la publicidad en vía regula el espacio público vial.
C225,Actualizar el plan maestro de publicidad exterior de la ciudad (estudio de factibilidad por zonas),SM Ciudad Productiva,Regulacion del Espacio Publico,Regulacion del Espacio Publico,Parqueo y Control del Espacio Publico Vial,Alto,Actualizar el plan maestro de publicidad exterior regula el espacio público.
C228,Establecer la limpieza periódica (cada 6 meses) del Mercado Bolívar,SM Ciudad Productiva,"Mi Mercado, Mi Comunidad: Red de Mercados Dignos",Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Limpieza periódica de mercado: mantenimiento operativo recurrente.
C230,Impulsar el programa 'La Paz sin petardos' y hacer cumplir la normativa,SM Ciudad Productiva,Patitas Seguras: Veterinarias comunitarias y adopcion responsable,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Campaña de cumplimiento normativo ('sin petardos'): sin proyecto específico en el catálogo.
C242,Establecer el lavado y la fumigación periódica (2 veces al año) del Mercado Kollasuyo,SM Ciudad Productiva,"Mi Mercado, Mi Comunidad: Red de Mercados Dignos",Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Lavado y fumigación periódica de mercado: mantenimiento operativo recurrente.
C244,"Diagnosticar y reactivar el CITE de Joyería (certificación, refacción, personal y uso del equipamiento)",SM Ciudad Productiva,Instituto Municipal de Emprendimiento,Instituto Municipal de Emprendimiento,Ecosistema Municipal del Emprendimiento,Alto,Diagnosticar y reactivar el CITE de Joyería fortalece el ecosistema de emprendimiento productivo.
C095,Evaluar el estado y el proceso de cierre técnico del ex botadero del Parque 3600,SM Ciudad Verde,Nueva Planta de Tratamiento,Nueva Planta de Tratamiento,Gestion Integral de Residuos Solidos,Medio,"Cierre técnico del ex botadero del Parque 3600: podría ser remediación de residuos, gestión de riesgo o el futuro parque; requiere definición de la secretaría."
C151,Reinstalar las cámaras y recalibrar la báscula del ex relleno de Mallasa,SM Ciudad Verde,Nueva Planta de Tratamiento,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Reinstalar cámaras y recalibrar báscula de relleno clausurado: control operativo.
C152,Conformar y estabilizar los taludes y el lixiviado del ex relleno de Mallasa,SM Ciudad Verde,Nueva Planta de Tratamiento,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Estabilización de taludes/lixiviado de relleno clausurado: remediación sin proyecto específico en el catálogo.
C159,Crear rutas accesibles diferenciadas y áreas de descanso en el bioparque Vesty Pakos,SM Ciudad Verde,Refugios y Santuarios,"Ruta Inclusiva: Calles, plazas y servicios para todos.",Ciudad Inclusiva con Discapacidad,Alto,"Rutas accesibles y áreas de descanso responden a accesibilidad universal, no a refugios de fauna."
C160,Retomar el convenio con la ONG WCS para el bioparque Vesty Pakos,SM Ciudad Verde,Refugios y Santuarios,Refugios y Santuarios,Biodiversidad Urbana y Proteccion de Fauna Silvestre,Alto,Retomar el convenio con la ONG conserva la fauna del bioparque.
C166,Reubicar el contenedor de basura del Mercado Rodríguez que contamina los alimentos,SM Ciudad Verde,Basura Cero: Comunidad que separa y reduce,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Reubicación puntual de un contenedor: acción operativa.
C192,Resolver la situación laboral de los trabajadores del relleno de Alpacoma,SM Ciudad Verde,La Paz Recicla con Dignidad: Red de recicladores y educacion urbana,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Resolución de la situación laboral de trabajadores: asunto administrativo/interno.
C193,"Implementar el control de peso, calidad y humedad de los residuos en el relleno de Alpacoma",SM Ciudad Verde,Basura Cero: Comunidad que separa y reduce,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Control operativo de peso/calidad de residuos en el relleno: gestión operativa.
C194,"Ejecutar el mantenimiento, la estabilización y las obras urgentes del relleno de Alpacoma",SM Ciudad Verde,Nueva Planta de Tratamiento,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Mantenimiento y obras de un relleno clausurado: remediación sin proyecto específico en el catálogo.
C022,"Organizar la carrera pedestre 5K, 10K y 21K de las fiestas julias",SM Ciudad Vital,Barrio Activo: Circuitos deportivos barriales,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Evento deportivo puntual (carrera): actividad protocolar sin proyecto específico.
C043,Programa de salud preventiva domiciliaria para adultos mayores,SM Ciudad Vital,Red de Salud Inteligente de Barrio,Red de Salud Inteligente de Barrio,Salud Inteligente y Preventiva,Alto,La salud preventiva domiciliaria calza en la red de salud inteligente y preventiva.
C044,Garantizar el abastecimiento de medicamentos en los centros de salud,SM Ciudad Vital,Clinicas de Vida: Salud donde vives,Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Garantizar el abastecimiento de medicamentos es provisión de salud primaria.
C046,Dotar personal y especialidades al Centro de Salud El Vergel,SM Ciudad Vital,Clinicas de Vida: Salud donde vives,Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Dotar personal y especialidades fortalece la atención de salud primaria.
C066,Mostrar en dos semanas el software de trámites digitales desde el celular,SM Ciudad Vital,Municipio Inteligente y Humano,Municipio Inteligente y Humano,Transformacion Digital Ciudadana,Alto,El software de trámites digitales desde el celular es transformación digital municipal.
C070,"Gestionar recursos para reparar la piscina, el área de gimnasia y la cancha de básquet",SM Ciudad Vital,Barrio Activo: Circuitos deportivos barriales,Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Reparar la piscina y áreas deportivas rehabilita infraestructura de deporte comunitario.
C084,Corregir las deficiencias operativas del Hospital La Portada,SM Ciudad Vital,Clinicas de Vida: Salud donde vives,Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Corregir deficiencias operativas del hospital mejora la salud primaria municipal.
C085,Poner en pleno uso y al día el mantenimiento del tomógrafo del Hospital La Portada,SM Ciudad Vital,Clinicas de Vida: Salud donde vives,Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Poner en uso y mantener el tomógrafo equipa el hospital de salud primaria.
C087,Equipar las ambulancias municipales y eliminar el cobro del servicio,SM Ciudad Vital,Red de Salud Familiar,Red de Salud Familiar,Salud Primaria Integral,Alto,Equipar ambulancias y eliminar su cobro fortalece la red de salud familiar.
C089,Instituir inspecciones sorpresa periódicas a los hospitales y centros de salud municipales,SM Ciudad Vital,Clinicas de Vida: Salud donde vives,Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Las inspecciones sorpresa aseguran la calidad de la red de salud primaria.
C106,Eliminar los cobros indebidos de prestaciones del SUS en el Hospital La Paz,SM Ciudad Vital,Clinicas de Vida: Salud donde vives,Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Eliminar cobros indebidos del SUS garantiza el acceso gratuito a la salud primaria.
C108,Renovar el equipamiento obsoleto del Hospital La Paz,SM Ciudad Vital,Clinicas de Vida: Salud donde vives,Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Renovar el equipamiento obsoleto reequipa el hospital de salud primaria.
C111,Implementar los hospitales móviles de salud preventiva para la mujer,SM Ciudad Vital,Red de Salud Inteligente de Barrio,Red de Salud Inteligente de Barrio,Salud Inteligente y Preventiva,Alto,Los hospitales móviles de salud preventiva calzan en la salud inteligente y preventiva.
C143,Rehabilitar y reponer los servicios del complejo deportivo Luis Lastra,SM Ciudad Vital,Barrio Activo: Circuitos deportivos barriales,Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Rehabilitar el complejo Luis Lastra recupera infraestructura de deporte comunitario.
C163,Estabilizar e intervenir la cancha Venus (césped sintético e iluminación) y apoyar las escuelas de fútbol,SM Ciudad Vital,Barrio Activo: Circuitos deportivos barriales,Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Intervenir la cancha Venus y apoyar escuelas de fútbol es deporte comunitario.
C206,Ejecutar el plan de intervención integral de la piscina de Orcojahuira (San Antonio),SM Ciudad Vital,Barrio Activo: Circuitos deportivos barriales,Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Intervenir integralmente la piscina de Orcojahuira rehabilita infraestructura deportiva.
C216,Devolver los cobros indebidos a los 87 pacientes y eliminar el cobro de certificados e informes médicos en el Hospital Los Pinos,SM Ciudad Vital,Clinicas de Vida: Salud donde vives,Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Devolver cobros indebidos y eliminar cobros garantiza el acceso a la salud primaria.
C221,Regularizar el derecho propietario del inmueble del Centro de Salud de Tembladerani,SM Ciudad Vital,Tu Terreno Cuenta: Regularizacion con justicia social,Tu Terreno Cuenta: Regularizacion con justicia social,Catastro Moderno y Justicia Urbana,Alto,Regularizar el derecho propietario del centro de salud es catastro y justicia urbana.
C236,Reutilizar los equipos médicos dados de baja e implementar el mantenimiento biomédico (convenio U. Católica),SM Ciudad Vital,Red de Salud Inteligente de Barrio,Red de Salud Inteligente de Barrio,Salud Inteligente y Preventiva,Alto,El mantenimiento biomédico de equipos fortalece la salud inteligente y preventiva.
C238,"Rehabilitar el frontón/complejo deportivo de San Antonio (baños, electricidad, canchas y parqueo)",SM Ciudad Vital,Barrio Activo: Circuitos deportivos barriales,Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Rehabilitar el frontón/complejo deportivo recupera infraestructura de deporte comunitario.
C239,Resolver el asentamiento estructural del Centro de Salud de Villa Armonía,SM Ciudad Vital,Infraestructura de Centros de Salud y Educacion,Infraestructura de Centros de Salud y Educacion,Equipamiento y Servicios Urbanos,Alto,Resolver el asentamiento estructural del centro de salud es infraestructura de salud.
C253,Instalar césped sintético e iluminación en las canchas del Parque de las Cebras,SM Ciudad Vital,Barrio Activo: Circuitos deportivos barriales,Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Instalar césped e iluminación en canchas es infraestructura de deporte comunitario.
C029,Reponer el control de tránsito y reforzar la Defensoría de la Niñez en la Terminal Minasa,SM Ciudad de Cuidados y Derechos,Casas de Proteccion Integral,Casas de Proteccion Integral,Infancia y Adolescencia Protegida,Alto,Reforzar la Defensoría de la Niñez en la terminal es protección de la infancia.
C073,Habilitar el salón interior de Obrajes para zumba y yoga de la tercera edad,SM Ciudad de Cuidados y Derechos,Clubes de Movimiento y Memoria,Clubes de Movimiento y Memoria,Ciudad Longeva y Activa,Alto,Habilitar el salón para zumba y yoga de la tercera edad es club de movimiento y memoria.
C122,Separar los equipos de SLIM y DNA en las plataformas de atención,SM Ciudad de Cuidados y Derechos,Ciudad de La Mujer,Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Separar los equipos SLIM/DNA especializa la atención a mujeres víctimas.
C123,Aumentar el personal de las defensorías vía convenios con universidades,SM Ciudad de Cuidados y Derechos,Ciudad de La Mujer,Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Aumentar el personal de las defensorías fortalece las plataformas de atención a la mujer.
C125,Convertir los SLIM a atención 24/7 por equipos,SM Ciudad de Cuidados y Derechos,Ciudad de La Mujer,Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Convertir los SLIM a atención 24/7 amplía el servicio a mujeres víctimas.
C127,Gestionar un fiscal e investigador asignados a las plataformas SLIM,SM Ciudad de Cuidados y Derechos,Ciudad de La Mujer,Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Gestionar fiscal e investigador articula la justicia para víctimas en el SLIM.
C128,Digitalizar los casos de las defensorías,SM Ciudad de Cuidados y Derechos,Ciudad de La Mujer,Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Digitalizar los casos fortalece la gestión de la atención a mujeres víctimas.
C129,Fortalecer los albergues y crear la red de protección para víctimas,SM Ciudad de Cuidados y Derechos,Ciudad de La Mujer,Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Fortalecer albergues y la red de protección atiende a las mujeres víctimas.
C130,Brindar contención psicológica al personal de las defensorías,SM Ciudad de Cuidados y Derechos,Centros Distritales de Salud Mental,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Contención psicológica al personal: bienestar laboral interno.
C132,Descentralizar el centro de terapia a las plataformas,SM Ciudad de Cuidados y Derechos,Centros Distritales de Salud Mental,Centros Distritales de Salud Mental,Salud Mental Comunitaria,Alto,Descentralizar el centro de terapia a las plataformas acerca la salud mental comunitaria.
C150,Desburocratizar las denuncias e implementar la sanción directa en la Casa de la Mascota,SM Ciudad de Cuidados y Derechos,Patitas Seguras: Veterinarias comunitarias y adopcion responsable,Patitas Seguras: Veterinarias comunitarias y adopcion responsable,Ciudad Protectora de Animales,Alto,Desburocratizar denuncias y sanción directa mejora la protección animal.
C181,"Mejorar los servicios de atención del edificio del Mercado Camacho (adulto mayor, guardería y discapacidad)",SM Ciudad de Cuidados y Derechos,Casas Distritales del Adulto Mayor,Tejiendo Cuidados: Espacios de encuentro entre generaciones.,Redes de Cuidado Intergeneracional,Alto,"El edificio presta servicios de cuidado a varias poblaciones (adulto mayor, guardería, discapacidad): redes de cuidado."
C182,Rehabilitar y poner en funcionamiento el albergue municipal de la calle Chuquisaca,SM Ciudad de Cuidados y Derechos,Casas de Proteccion Integral,Casas de Proteccion Integral,Infancia y Adolescencia Protegida,Alto,Rehabilitar y abrir el albergue municipal brinda protección a población en situación de calle.
